INSERT INTO main_weapons (weapon_name, count, weapon_num, employee_id_id, status, date_of_rec, description) VALUES
('АК 74', 1, 583219, 1, 'выдано', '2020-05-01', ''),
('АК 74', 1, 987654, 2, 'выдано', '2021-08-15', ''),
('АК 74', 1, 123456, 3, 'выдано', '2019-12-03', ''),
('АК 74', 1, 234567, 4, 'выдано', '2018-07-20', ''),
('АК 74', 1, 345678, 5, 'выдано', '2022-10-10', ''),
('АК 74', 1, 456789, 6, 'выдано', '2017-05-28', ''),
('АК 74', 1, 567890, 7, 'выдано', '2016-09-17', ''),
('АК 74', 1, 678901, 8, 'выдано', '2018-03-12', ''),
('АК 74', 1, 789012, 9, 'выдано', '2023-11-05', ''),
('АК 74', 1, 890123, 10, 'выдано', '2024-02-29', ''),
('АК 74', 1, 901234, 11, 'выдано', '2022-06-18', ''),
('АК 74', 1, 112233, 12, 'выдано', '2015-04-22', ''),
('АК 74', 1, 445566, 13, 'выдано', '2021-01-08', ''),
('АК 74', 1, 778899, 14, 'выдано', '2019-09-30', ''),
('АК 74', 1, 990011, 15, 'выдано', '2020-07-25', ''),
('АК 74', 1, 334455, 16, 'выдано', '2016-11-11', ''),
('АК 74', 1, 667788, 17, 'выдано', '2018-08-05', ''),
('АК 74', 1, 112234, 18, 'выдано', '2017-03-01', ''),
('АК 74', 1, 445567, 19, 'выдано', '2023-01-16', ''),
('АК 74', 1, 778900, 20, 'выдано', '2015-07-04', ''),
('АК 74', 1, 990012, 21, 'выдано', '2024-09-21', ''),
('АК 74', 1, 334456, 22, 'выдано', '2021-02-13', ''),
('АК 74', 1, 667789, 23, 'выдано', '2016-10-27', ''),
('АК 74', 1, 112235, 24, 'выдано', '2018-04-19', ''),
('АК 74', 1, 445568, 25, 'выдано', '2019-12-10', ''),
('АК 74', 1, 778901, 26, 'выдано', '2023-03-07', ''),
('АК 74', 1, 990013, 27, 'выдано', '2017-06-03', ''),
('АК 74', 1, 334457, 28, 'выдано', '2020-01-30', ''),
('АК 74', 1, 667790, 29, 'выдано', '2015-08-24', ''),
('АК 74', 1, 112236, 30, 'выдано', '2022-04-14', ''),
('АК 74', 1, 445569, 31, 'выдано', '2018-02-09', ''),
('АК 74', 1, 778902, 32, 'выдано', '2016-12-23', ''),
('АК 74', 1, 990014, 33, 'выдано', '2021-10-02', ''),
('АК 74', 1, 334458, 34, 'выдано', '2019-04-11', ''),
('АК 74', 1, 667791, 35, 'выдано', '2017-09-18', ''),
('АК 74', 1, 112237, 36, 'выдано', '2023-07-01', ''),
('АК 74', 1, 445570, 37, 'выдано', '2015-03-04', ''),
('АК 74', 1, 778903, 38, 'выдано', '2020-08-14', ''),
('АК 74', 1, 990015, 39, 'выдано', '2018-11-27', ''),
('АК 74', 1, 334459, 40, 'выдано', '2016-05-30', ''),
('АК 74', 1, 667792, 41, 'выдано', '2022-12-17', ''),
('АК 74', 1, 112238, 42, 'выдано', '2019-02-23', ''),
('АК 74', 1, 445571, 43, 'выдано', '2017-10-26', ''),
('АК 74', 1, 778904, 44, 'выдано', '2024-08-07', ''),
('АК 74', 1, 990016, 45, 'выдано', '2015-06-10', ''),
('АК 74', 1, 334460, 46, 'выдано', '2020-04-19', ''),
('АК 74', 1, 667793, 47, 'выдано', '2018-01-28', ''),
('АК 74', 1, 112239, 48, 'выдано', '2016-09-02', ''),
('АК 74', 1, 445572, 49, 'выдано', '2019-04-15', ''),
('АК 74', 1, 778905, 50, 'выдано', '2017-11-17', ''),
('АК 74', 1, 990017, 51, 'выдано', '2023-09-23', ''),
('АК 74', 1, 334461, 52, 'выдано', '2015-03-28', ''),
('АК 74', 1, 667794, 53, 'выдано', '2020-12-05', ''),
('АК 74', 1, 112240, 54, 'выдано', '2018-07-15', ''),
('АК 74', 1, 445573, 55, 'выдано', '2016-05-18', ''),
('АК 74', 1, 778906, 56, 'выдано', '2019-11-29', ''),
('АК 74', 1, 990018, 57, 'выдано', '2017-08-11', ''),
('АК 74', 1, 334462, 58, 'выдано', '2022-04-17', ''),
('АК 74', 1, 667795, 59, 'выдано', '2015-01-21', ''),
('АК 74', 1, 112241, 60, 'выдано', '2020-10-30', ''),
('АК 74', 1, 445574, 61, 'выдано', '2018-08-03', ''),
('АК 74', 1, 778907, 62, 'выдано', '2016-06-07', ''),
('АК 74', 1, 990019, 63, 'выдано', '2021-02-15', ''),
('АК 74', 1, 334463, 64, 'выдано', '2019-03-22', ''),
('АК 74', 1, 667796, 65, 'выдано', '2017-11-27', ''),
('АК 74', 1, 112242, 66, 'выдано', '2023-10-06', ''),
('АК 74', 1, 445575, 67, 'выдано', '2015-06-29', ''),
('АК 74', 1, 778908, 68, 'выдано', '2020-02-11', ''),
('АК 74', 1, 990020, 69, 'выдано', '2018-12-13', ''),
('АК 74', 1, 334464, 70, 'выдано', '2016-07-17', ''),
('АК 74', 1, 667797, 71, 'выдано', '2019-04-22', ''),
